produto;quantidade_litro;ano
VINHO DE MESA;209.198.468;2015
Tinto;182.028.785;2015
Rosado;1.409.002;2015
Branco;25.760.681;2015
VINHO  FINO DE MESA;20.141.631;2015
Tinto;15.572.632;2015
Rosado;169.185;2015
Branco;4.399.814;2015
VINHO FRIZANTE;1.836.167;2015
VINHO ORGÂNICO;-;2015
VINHO ESPECIAL;593;2015
Tinto;593;2015
Rosado;-;2015
Branco;-;2015
ESPUMANTES;18.897.144;2015
Espumante  Moscatel;5.010.704;2015
Espumante;13.886.440;2015
Espumante Orgânico;-;2015
SUCO DE UVAS;115.288.072;2015
Suco Natural Integral;-;2015
Suco Reprocessado/reconstituido;-;2015
Suco Orgânico;-;2015
Outros sucos de uvas;-;2015
SUCO DE UVAS CONCENTRADO;34.923.477;2015
OUTROS PRODUTOS COMERCIALIZADOS;31.922.948;2015
Outros vinhos (sem informação detalhada);-;2015
Agrin (fermentado, acetico misto);-;2015
Aguardente de vinho 50°gl;5;2015
Alcool vinico;-;2015
Bagaceira (graspa);16.268;2015
Base champenoise champanha;72.774;2015
Base charmat champanha;117.404;2015
Base espumante moscatel;77.054;2015
Bebida de uva;2.801;2015
Borra líquida;24.091;2015
Borra seca;128.754;2015
Brandy (conhaque);8.118;2015
Cooler;3.297.202;2015
Coquetel com vinho;611.787;2015
Destilado de vinho;-;2015
Filtrado doce;6.001.714;2015
Jeropiga;58.860;2015
Mistelas;1.144;2015
Mosto concentrado;-;2015
Mosto de uva;335.966;2015
Mosto sulfitado;-;2015
Nectar de uva;3.959.884;2015
Outros produtos;660.042;2015
Polpa de uva;2.500.025;2015
Preparado líquido para refresco;160.245;2015
Refrigerante +50% suco;-;2015
Sangria;131.599;2015
Vinagre balsamico;120.677;2015
Vinagre duplo;1.164.527;2015
Vinagre simples;8.188.031;2015
Vinho acetificado;3.359.266;2015
Vinho base para espumantes;-;2015
Vinho composto;413.735;2015
Vinho licoroso;510.975;2015
Vinho leve;-;2015
Vinho gaseificado;-;2015
Total;432.208.500;2015
VINHO DE MESA;166.769.622;2016
Tinto;146.646.365;2016
Rosado;1.391.942;2016
Branco;18.731.315;2016
VINHO  FINO DE MESA;19.630.158;2016
Tinto;15.228.514;2016
Rosado;172.351;2016
Branco;4.229.293;2016
VINHO FRIZANTE;1.727.386;2016
VINHO ORGÂNICO;-;2016
VINHO ESPECIAL;331;2016
Tinto;331;2016
Rosado;-;2016
Branco;-;2016
ESPUMANTES;16.945.710;2016
Espumante  Moscatel;4.507.467;2016
Espumante;12.438.243;2016
Espumante Orgânico;-;2016
SUCO DE UVAS;92.290.851;2016
Suco Natural Integral;-;2016
Suco Reprocessado/reconstituido;-;2016
Suco Orgânico;-;2016
Outros sucos de uvas;-;2016
SUCO DE UVAS CONCENTRADO;28.859.784;2016
OUTROS PRODUTOS COMERCIALIZADOS;27.120.309;2016
Outros vinhos (sem informação detalhada);-;2016
Agrin (fermentado, acetico misto);-;2016
Aguardente de vinho 50°gl;-;2016
Alcool vinico;6.315;2016
Bagaceira (graspa);9.301;2016
Base champenoise champanha;74.805;2016
Base charmat champanha;122.356;2016
Base espumante moscatel;131.739;2016
Bebida de uva;1.483;2016
Borra líquida;15.000;2016
Borra seca;57.292;2016
Brandy (conhaque);8.253;2016
Cooler;2.450.732;2016
Coquetel com vinho;506.532;2016
Destilado de vinho;6.700;2016
Filtrado doce;4.225.414;2016
Jeropiga;14.429;2016
Mistelas;835;2016
Mosto concentrado;-;2016
Mosto de uva;9.458;2016
Mosto sulfitado;-;2016
Nectar de uva;3.288.046;2016
Outros produtos;763.041;2016
Polpa de uva;1.924.093;2016
Preparado líquido para refresco;33.684;2016
Refrigerante +50% suco;-;2016
Sangria;77.070;2016
Vinagre balsamico;101.991;2016
Vinagre duplo;1.083.539;2016
Vinagre simples;8.186.761;2016
Vinho acetificado;3.097.566;2016
Vinho base para espumantes;-;2016
Vinho composto;377.685;2016
Vinho licoroso;546.189;2016
Vinho leve;-;2016
Vinho gaseificado;-;2016
Total;353.344.151;2016
VINHO DE MESA;176.059.959;2017
Tinto;154.309.442;2017
Rosado;1.097.426;2017
Branco;20.653.091;2017
VINHO  FINO DE MESA;15.874.354;2017
Tinto;12.021.684;2017
Rosado;182.080;2017
Branco;3.670.590;2017
VINHO FRIZANTE;1.586.985;2017
VINHO ORGÂNICO;-;2017
VINHO ESPECIAL;-;2017
Tinto;-;2017
Rosado;-;2017
Branco;-;2017
ESPUMANTES;17.583.283;2017
Espumante  Moscatel;5.561.181;2017
Espumante;12.022.102;2017
Espumante Orgânico;-;2017
SUCO DE UVAS;107.243.326;2017
Suco Natural Integral;-;2017
Suco Reprocessado/reconstituido;-;2017
Suco Orgânico;-;2017
Outros sucos de uvas;-;2017
SUCO DE UVAS CONCENTRADO;26.815.645;2017
OUTROS PRODUTOS COMERCIALIZADOS;28.027.052;2017
Outros vinhos (sem informação detalhada);-;2017
Agrin (fermentado, acetico misto);-;2017
Aguardente de vinho 50°gl;-;2017
Alcool vinico;49.662;2017
Bagaceira (graspa);9.257;2017
Base champenoise champanha;48.866;2017
Base charmat champanha;298.836;2017
Base espumante moscatel;139.070;2017
Bebida de uva;10.297;2017
Borra líquida;20.795;2017
Borra seca;4.970;2017
Brandy (conhaque);5.089;2017
Cooler;2.471.612;2017
Coquetel com vinho;418.433;2017
Destilado de vinho;-;2017
Filtrado doce;4.208.753;2017
Jeropiga;508;2017
Mistelas;1.194;2017
Mosto concentrado;-;2017
Mosto de uva;63.971;2017
Mosto sulfitado;-;2017
Nectar de uva;4.727.294;2017
Outros produtos;1.082.923;2017
Polpa de uva;1.876.212;2017
Preparado líquido para refresco;30.519;2017
Refrigerante +50% suco;-;2017
Sangria;62.272;2017
Vinagre balsamico;81.944;2017
Vinagre duplo;975.992;2017
Vinagre simples;7.686.691;2017
Vinho acetificado;2.769.202;2017
Vinho base para espumantes;-;2017
Vinho composto;485.944;2017
Vinho licoroso;496.746;2017
Vinho leve;-;2017
Vinho gaseificado;-;2017
Total;373.190.604;2017
VINHO DE MESA;177.186.273;2018
Tinto;155.115.499;2018
Rosado;1.972.944;2018
Branco;20.097.830;2018
VINHO  FINO DE MESA;14.826.143;2018
Tinto;11.150.517;2018
Rosado;262.430;2018
Branco;3.413.196;2018
VINHO FRIZANTE;1.638.337;2018
VINHO ORGÂNICO;-;2018
VINHO ESPECIAL;-;2018
Tinto;-;2018
Rosado;-;2018
Branco;-;2018
ESPUMANTES;18.218.375;2018
Espumante  Moscatel;6.526.075;2018
Espumante;11.692.300;2018
Espumante Orgânico;-;2018
SUCO DE UVAS;140.472.108;2018
Suco Natural Integral;-;2018
Suco Reprocessado/reconstituido;-;2018
Suco Orgânico;-;2018
Outros sucos de uvas;-;2018
SUCO DE UVAS CONCENTRADO;23.572.263;2018
OUTROS PRODUTOS COMERCIALIZADOS;31.246.158;2018
Outros vinhos (sem informação detalhada);3.734.763;2018
Agrin (fermentado, acetico misto);-;2018
Aguardente de vinho 50°gl;-;2018
Alcool vinico;21.575;2018
Bagaceira (graspa);6.929;2018
Base champenoise champanha;74.941;2018
Base charmat champanha;287.361;2018
Base espumante moscatel;109.200;2018
Bebida de uva;10.330;2018
Borra líquida;11.600;2018
Borra seca;721.280;2018
Brandy (conhaque);4.652;2018
Cooler;3.091.682;2018
Coquetel com vinho;349.836;2018
Destilado de vinho;82;2018
Filtrado doce;3.867.645;2018
Jeropiga;173;2018
Mistelas;1.902;2018
Mosto concentrado;-;2018
Mosto de uva;715.708;2018
Mosto sulfitado;-;2018
Nectar de uva;3.517.417;2018
Outros produtos;1.773.526;2018
Polpa de uva;1.853.162;2018
Preparado líquido para refresco;76.888;2018
Refrigerante +50% suco;40.574;2018
Sangria;58.498;2018
Vinagre balsamico;133.714;2018
Vinagre duplo;888.589;2018
Vinagre simples;6.994.467;2018
Vinho acetificado;2.158.993;2018
Vinho base para espumantes;-;2018
Vinho composto;249.165;2018
Vinho licoroso;491.165;2018
Vinho leve;198;2018
Vinho gaseificado;143;2018
Total;407.159.657;2018
VINHO DE MESA;180.446.489;2019
Tinto;158.519.218;2019
Rosado;1.265.435;2019
Branco;20.661.836;2019
VINHO  FINO DE MESA;15.684.588;2019
Tinto;11.433.702;2019
Rosado;503.524;2019
Branco;3.747.362;2019
VINHO FRIZANTE;1.826.433;2019
VINHO ORGÂNICO;2.554;2019
VINHO ESPECIAL;-;2019
Tinto;-;2019
Rosado;-;2019
Branco;-;2019
ESPUMANTES;22.759.859;2019
Espumante  Moscatel;8.997.187;2019
Espumante;13.762.361;2019
Espumante Orgânico;311;2019
SUCO DE UVAS;147.907.617;2019
Suco Natural Integral;131.628.685;2019
Suco Reprocessado/reconstituido;7.759.932;2019
Suco Orgânico;416.849;2019
Outros sucos de uvas;8.102.151;2019
SUCO DE UVAS CONCENTRADO;28.721.470;2019
OUTROS PRODUTOS COMERCIALIZADOS;34.794.651;2019
Outros vinhos (sem informação detalhada);310.886;2019
Agrin (fermentado, acetico misto);-;2019
Aguardente de vinho 50°gl;-;2019
Alcool vinico;-;2019
Bagaceira (graspa);8.746;2019
Base champenoise champanha;65.692;2019
Base charmat champanha;271.714;2019
Base espumante moscatel;115.468;2019
Bebida de uva;498.512;2019
Borra líquida;17.398;2019
Borra seca;153.770;2019
Brandy (conhaque);5.015;2019
Cooler;3.782.516;2019
Coquetel com vinho;269.701;2019
Destilado de vinho;309;2019
Filtrado doce;4.076.204;2019
Jeropiga;-;2019
Mistelas;3.765;2019
Mosto concentrado;-;2019
Mosto de uva;5.736.852;2019
Mosto sulfitado;94.000;2019
Nectar de uva;4.006.608;2019
Outros produtos;2.294.581;2019
Polpa de uva;1.838.395;2019
Preparado líquido para refresco;52.567;2019
Refrigerante +50% suco;110.648;2019
Sangria;67.279;2019
Vinagre balsamico;211.653;2019
Vinagre duplo;1.130.092;2019
Vinagre simples;6.246.945;2019
Vinho acetificado;2.592.380;2019
Vinho base para espumantes;-;2019
Vinho composto;366.549;2019
Vinho licoroso;465.964;2019
Vinho leve;306;2019
Vinho gaseificado;136;2019
Total;432.143.661;2019
VINHO DE MESA;215.557.931;2020
Tinto;189.573.423;2020
Rosado;1.394.901;2020
Branco;24.589.607;2020
VINHO  FINO DE MESA;24.310.834;2020
Tinto;18.202.453;2020
Rosado;993.248;2020
Branco;5.115.133;2020
VINHO FRIZANTE;2.557.585;2020
VINHO ORGÂNICO;10.718;2020
VINHO ESPECIAL;-;2020
Tinto;-;2020
Rosado;-;2020
Branco;-;2020
ESPUMANTES;22.610.762;2020
Espumante  Moscatel;9.298.571;2020
Espumante;13.311.450;2020
Espumante Orgânico;742;2020
SUCO DE UVAS;144.889.668;2020
Suco Natural Integral;114.453.657;2020
Suco Reprocessado/reconstituido;22.066.742;2020
Suco Orgânico;553.391;2020
Outros sucos de uvas;7.815.879;2020
SUCO DE UVAS CONCENTRADO;22.422.414;2020
OUTROS PRODUTOS COMERCIALIZADOS;26.547.242;2020
Outros vinhos (sem informação detalhada);192.057;2020
Agrin (fermentado, acetico misto);-;2020
Aguardente de vinho 50°gl;866;2020
Alcool vinico;6.640;2020
Bagaceira (graspa);7.610;2020
Base champenoise champanha;8.772;2020
Base charmat champanha;123;2020
Base espumante moscatel;23.703;2020
Bebida de uva;354.511;2020
Borra líquida;22.975;2020
Borra seca;146.260;2020
Brandy (conhaque);7.966;2020
Cooler;6.260.381;2020
Coquetel com vinho;205.664;2020
Destilado de vinho;200;2020
Filtrado doce;2.415.338;2020
Jeropiga;1.267;2020
Mistelas;1.201;2020
Mosto concentrado;-;2020
Mosto de uva;48.044;2020
Mosto sulfitado;-;2020
Nectar de uva;3.319.597;2020
Outros produtos;2.543.754;2020
Polpa de uva;1.129.453;2020
Preparado líquido para refresco;11.366;2020
Refrigerante +50% suco;144.945;2020
Sangria;11.017;2020
Vinagre balsamico;248.771;2020
Vinagre duplo;1.075.579;2020
Vinagre simples;6.049.584;2020
Vinho acetificado;1.879.227;2020
Vinho base para espumantes;-;2020
Vinho composto;63.625;2020
Vinho licoroso;362.340;2020
Vinho leve;396;2020
Vinho gaseificado;4.012;2020
Total;458.907.154;2020
VINHO DE MESA;210.012.238;2021
Tinto;185.653.678;2021
Rosado;1.931.606;2021
Branco;22.426.954;2021
VINHO  FINO DE MESA;27.080.445;2021
Tinto;19.337.862;2021
Rosado;1.603.537;2021
Branco;6.139.046;2021
VINHO FRIZANTE;3.696.762;2021
VINHO ORGÂNICO;18.686;2021
VINHO ESPECIAL;-;2021
Tinto;-;2021
Rosado;-;2021
Branco;-;2021
ESPUMANTES;31.242.697;2021
Espumante  Moscatel;12.240.059;2021
Espumante;19.001.999;2021
Espumante Orgânico;639;2021
SUCO DE UVAS;147.753.321;2021
Suco Natural Integral;115.173.833;2021
Suco Reprocessado/reconstituido;26.136.089;2021
Suco Orgânico;902.299;2021
Outros sucos de uvas;5.541.100;2021
SUCO DE UVAS CONCENTRADO;26.730.942;2021
OUTROS PRODUTOS COMERCIALIZADOS;26.657.930;2021
Outros vinhos (sem informação detalhada);17.618;2021
Agrin (fermentado, acetico misto);-;2021
Aguardente de vinho 50°gl;-;2021
Alcool vinico;-;2021
Bagaceira (graspa);7.676;2021
Base champenoise champanha;9.580;2021
Base charmat champanha;4.230;2021
Base espumante moscatel;49.734;2021
Bebida de uva;324.298;2021
Borra líquida;935;2021
Borra seca;414.100;2021
Brandy (conhaque);7.311;2021
Cooler;6.107.943;2021
Coquetel com vinho;244.184;2021
Destilado de vinho;175;2021
Filtrado doce;2.430.821;2021
Jeropiga;1.763;2021
Mistelas;9.075;2021
Mosto concentrado;-;2021
Mosto de uva;803.171;2021
Mosto sulfitado;-;2021
Nectar de uva;4.021.229;2021
