paises;quantidade;valor;ano
Rússia;6.207.658;2.352.768;2008
São Tomé e Príncipe;-;-;2008
São Vicente e Granadinas;-;-;2008
Senegal;-;-;2008
Serra Leoa;-;-;2008
Singapura;-;-;2008
Suazilândia;-;-;2008
Suécia;26.984;84.564;2008
Suíça;54.384;216.317;2008
Suriname;900;1.625;2008
Tailândia;-;-;2008
Taiwan (FORMOSA);10.030;18.679;2008
Tanzânia;-;-;2008
Tcheca, República;17.135;64.709;2008
Togo;5.160;7.800;2008
Trinidade Tobago;-;-;2008
Tunísia;-;-;2008
Turquia;-;-;2008
Tuvalu;-;-;2008
Uruguai;-;-;2008
Vanuatu;-;-;2008
Venezuela;-;-;2008
Vietnã;-;-;2008
Total;10.346.323;7.118.100;2008
Afeganistão;-;-;2009
África do Sul;-;-;2009
Alemanha, República Democrática;225.086;393.482;2009
Angola;54.786;84.235;2009
Anguilla;-;-;2009
Antígua e Barbuda;-;-;2009
Antilhas Holandesas;8.235;10.651;2009
Argentina;162;4.523;2009
Aruba;-;-;2009
Austrália;1.014;9.195;2009
Áustria;-;-;2009
Bahamas;-;-;2009
Bangladesh;-;-;2009
Barbados;-;-;2009
Barein;-;-;2009
Bélgica;125.962;58.764;2009
Belice;-;-;2009
Benin;-;-;2009
Bolívia;40.463;20.729;2009
Bósnia-Herzegovina;-;-;2009
Brasil;-;-;2009
Bulgária;-;-;2009
Cabo Verde;-;-;2009
Camarões;-;-;2009
Canadá;15.664;73.445;2009
Catar;-;-;2009
Cayman, Ilhas;-;-;2009
Chile;1.475;4.297;2009
China;1.553.416;482.400;2009
Chipre;-;-;2009
Cingapura;2.419;6.110;2009
Cocos (Keeling), Ilhas;-;-;2009
Colômbia;-;-;2009
Comores;-;-;2009
Congo;-;-;2009
Coreia, Republica Sul;-;-;2009
Costa do Marfim;-;-;2009
Costa Rica;-;-;2009
Croácia;-;-;2009
Cuba;-;-;2009
Curaçao;-;-;2009
Dinamarca;1.980;21.780;2009
Dominica;-;-;2009
El Salvador;55;100;2009
Emirados Arabes Unidos;1.398;4.032;2009
Equador;-;-;2009
Eslovaca, Republica;-;-;2009
Espanha;2.181;4.050;2009
Estados Unidos;372.319;660.066;2009
Estônia;5.438;10.802;2009
Filipinas;-;-;2009
Finlândia;-;-;2009
França;-;-;2009
Gana;-;-;2009
Gibraltar;-;-;2009
Granada;-;-;2009
Grécia;-;-;2009
Guatemala;20;20;2009
Guiana;-;-;2009
Guiana Francesa;-;-;2009
Guine Bissau;-;-;2009
Guine Equatorial;169;272;2009
Haiti;4.500;5.863;2009
Honduras;14;30;2009
Hong Kong;50.319;27.188;2009
Hungria;-;-;2009
Ilha de Man;-;-;2009
Ilhas Virgens;-;-;2009
India;-;-;2009
Indonésia;-;-;2009
Irã;-;-;2009
Iraque;-;-;2009
Irlanda;-;-;2009
Itália;1.817;5.251;2009
Jamaica;-;-;2009
Japão;217.974;283.436;2009
Jordânia;-;-;2009
Letônia;-;-;2009
Líbano;-;-;2009
Libéria;-;-;2009
Luxemburgo;7.845;42.124;2009
Malásia;-;-;2009
Malta;-;-;2009
Marshall, Ilhas;-;-;2009
Mauritânia;-;-;2009
México;-;-;2009
Moçambique;-;-;2009
Montenegro;-;-;2009
Namibia;-;-;2009
Nicaragua;24;24;2009
Nigéria;41;115;2009
Noruega;-;-;2009
Nova Caledônia;-;-;2009
Nova Zelândia;-;-;2009
Omã;-;-;2009
Países Baixos;171.654;136.991;2009
Panamá;24;30;2009
Paraguai;486.927;392.087;2009
Peru;-;-;2009
Polônia;6.982;35.797;2009
Porto Rico;-;-;2009
Portugal;141.000;168.923;2009
Quênia;-;-;2009
Reino Unido;30.092;68.788;2009
República Dominicana;-;-;2009
Rússia;21.912.914;5.732.280;2009
São Tomé e Príncipe;-;-;2009
São Vicente e Granadinas;-;-;2009
Senegal;-;-;2009
Serra Leoa;-;-;2009
Singapura;-;-;2009
Suazilândia;-;-;2009
Suécia;28.334;52.826;2009
Suíça;27.653;81.319;2009
Suriname;3.830;12.918;2009
Tailândia;-;-;2009
Taiwan (FORMOSA);-;-;2009
Tanzânia;-;-;2009
Tcheca, República;9.269;43.902;2009
Togo;-;-;2009
Trinidade Tobago;-;-;2009
Tunísia;-;-;2009
Turquia;-;-;2009
Tuvalu;-;-;2009
Uruguai;-;-;2009
Vanuatu;-;-;2009
Venezuela;-;-;2009
Vietnã;743;2.143;2009
Total;25.514.198;8.940.988;2009
Afeganistão;-;-;2010
África do Sul;-;-;2010
Alemanha, República Democrática;27.715;138.666;2010
Angola;33.557;189.891;2010
Anguilla;-;-;2010
Antígua e Barbuda;-;-;2010
Antilhas Holandesas;9.810;12.808;2010
Argentina;-;-;2010
Aruba;-;-;2010
Austrália;1.823;17.960;2010
Áustria;-;-;2010
Bahamas;3.175;12.759;2010
Bangladesh;-;-;2010
Barbados;-;-;2010
Barein;-;-;2010
Bélgica;42.532;185.411;2010
Belice;-;-;2010
Benin;-;-;2010
Bolívia;54;282;2010
Bósnia-Herzegovina;-;-;2010
Brasil;-;-;2010
Bulgária;-;-;2010
Cabo Verde;11.991;49.366;2010
Camarões;-;-;2010
Canadá;-;-;2010
Catar;-;-;2010
Cayman, Ilhas;-;-;2010
Chile;-;-;2010
China;795;2.358;2010
Chipre;-;-;2010
Cingapura;1.533;5.504;2010
Cocos (Keeling), Ilhas;-;-;2010
Colômbia;-;-;2010
Comores;-;-;2010
Congo;-;-;2010
Coreia, Republica Sul;-;-;2010
Costa do Marfim;-;-;2010
Costa Rica;-;-;2010
Croácia;-;-;2010
Cuba;-;-;2010
Curaçao;-;-;2010
Dinamarca;7.034;69.161;2010
Dominica;-;-;2010
El Salvador;-;-;2010
Emirados Arabes Unidos;1.035;3.206;2010
Equador;-;-;2010
Eslovaca, Republica;-;-;2010
Espanha;-;-;2010
Estados Unidos;228.968;478.630;2010
Estônia;15.848;40.778;2010
Filipinas;-;-;2010
Finlândia;-;-;2010
França;3.614;18.904;2010
Gana;-;-;2010
Gibraltar;-;-;2010
Granada;-;-;2010
Grécia;-;-;2010
Guatemala;-;-;2010
Guiana;783;3.654;2010
Guiana Francesa;-;-;2010
Guine Bissau;-;-;2010
Guine Equatorial;410;1.015;2010
Haiti;2.700;3.750;2010
Honduras;-;-;2010
Hong Kong;-;-;2010
Hungria;540;4.103;2010
Ilha de Man;-;-;2010
Ilhas Virgens;-;-;2010
India;-;-;2010
Indonésia;-;-;2010
Irã;-;-;2010
Iraque;-;-;2010
Irlanda;3.969;42.795;2010
Itália;1.458;4.828;2010
Jamaica;-;-;2010
Japão;112.178;74.628;2010
Jordânia;-;-;2010
Letônia;-;-;2010
Líbano;-;-;2010
Libéria;-;-;2010
Luxemburgo;7.344;32.549;2010
Malásia;-;-;2010
Malta;-;-;2010
Marshall, Ilhas;-;-;2010
Mauritânia;-;-;2010
México;-;-;2010
Moçambique;-;-;2010
Montenegro;-;-;2010
Namibia;-;-;2010
Nicaragua;-;-;2010
Nigéria;-;-;2010
Noruega;-;-;2010
Nova Caledônia;-;-;2010
Nova Zelândia;-;-;2010
Omã;-;-;2010
Países Baixos;87.368;302.182;2010
Panamá;-;-;2010
Paraguai;510.989;449.197;2010
Peru;-;-;2010
Polônia;20.464;95.198;2010
Porto Rico;-;-;2010
Portugal;4.577;18.970;2010
Quênia;-;-;2010
Reino Unido;123.624;295.690;2010
República Dominicana;-;-;2010
Rússia;-;-;2010
São Tomé e Príncipe;-;-;2010
São Vicente e Granadinas;-;-;2010
Senegal;-;-;2010
Serra Leoa;-;-;2010
Singapura;-;-;2010
Suazilândia;-;-;2010
Suécia;-;-;2010
Suíça;2.025;21.600;2010
Suriname;1.836;1.269;2010
Tailândia;-;-;2010
Taiwan (FORMOSA);-;-;2010
Tanzânia;-;-;2010
Tcheca, República;1.091;5.285;2010
Togo;-;-;2010
Trinidade Tobago;-;-;2010
Tunísia;-;-;2010
Turquia;-;-;2010
Tuvalu;-;-;2010
Uruguai;914;2.929;2010
Vanuatu;-;-;2010
Venezuela;-;-;2010
Vietnã;8.820;9.977;2010
Total;1.280.574;2.595.303;2010
Afeganistão;-;-;2011
África do Sul;-;-;2011
Alemanha, República Democrática;36.070;144.150;2011
Angola;13.889;69.001;2011
Anguilla;-;-;2011
Antígua e Barbuda;-;-;2011
Antilhas Holandesas;7.335;10.188;2011
Argentina;13.253;55.460;2011
Aruba;900;1.680;2011
Austrália;3.632;40.704;2011
Áustria;-;-;2011
Bahamas;4.529;28.810;2011
Bangladesh;-;-;2011
Barbados;-;-;2011
Barein;-;-;2011
Bélgica;11.802;62.339;2011
Belice;-;-;2011
Benin;-;-;2011
Bolívia;12.775;20.215;2011
Bósnia-Herzegovina;-;-;2011
Brasil;-;-;2011
Bulgária;-;-;2011
Cabo Verde;600;825;2011
Camarões;-;-;2011
Canadá;28.906;128.076;2011
Catar;-;-;2011
Cayman, Ilhas;-;-;2011
Chile;-;-;2011
China;54.156;334.867;2011
Chipre;-;-;2011
Cingapura;911;3.317;2011
Cocos (Keeling), Ilhas;-;-;2011
Colômbia;-;-;2011
Comores;-;-;2011
Congo;360;570;2011
Coreia, Republica Sul;-;-;2011
Costa do Marfim;-;-;2011
Costa Rica;-;-;2011
Croácia;-;-;2011
Cuba;2.880;4.899;2011
Curaçao;-;-;2011
Dinamarca;32.797;83.057;2011
Dominica;-;-;2011
El Salvador;-;-;2011
Emirados Arabes Unidos;2.120;6.594;2011
Equador;-;-;2011
Eslovaca, Republica;-;-;2011
Espanha;5.206;24.618;2011
Estados Unidos;306.787;1.030.254;2011
Estônia;450;5.336;2011
Filipinas;-;-;2011
Finlândia;12.404;50.394;2011
França;-;-;2011
Gana;-;-;2011
Gibraltar;-;-;2011
Granada;-;-;2011
Grécia;-;-;2011
Guatemala;-;-;2011
Guiana;-;-;2011
Guiana Francesa;-;-;2011
Guine Bissau;-;-;2011
Guine Equatorial;956;1.979;2011
Haiti;-;-;2011
Honduras;-;-;2011
Hong Kong;2.063;7.975;2011
Hungria;-;-;2011
Ilha de Man;-;-;2011
Ilhas Virgens;-;-;2011
India;-;-;2011
Indonésia;-;-;2011
Irã;-;-;2011
Iraque;-;-;2011
Irlanda;5.376;35.690;2011
Itália;11.999;80.298;2011
Jamaica;-;-;2011
Japão;100.835;144.662;2011
Jordânia;-;-;2011
Letônia;-;-;2011
Líbano;-;-;2011
Libéria;-;-;2011
Luxemburgo;9.547;65.592;2011
Malásia;-;-;2011
Malta;-;-;2011
Marshall, Ilhas;-;-;2011
Mauritânia;-;-;2011
México;1.350;7.200;2011
Moçambique;-;-;2011
Montenegro;-;-;2011
Namibia;-;-;2011
Nicaragua;-;-;2011
Nigéria;54;210;2011
Noruega;10.268;78.688;2011
Nova Caledônia;-;-;2011
Nova Zelândia;2.587;7.992;2011
Omã;-;-;2011
Países Baixos;125.414;395.356;2011
Panamá;-;-;2011
Paraguai;240.168;276.281;2011
Peru;-;-;2011
Polônia;11.732;50.684;2011
Porto Rico;-;-;2011
Portugal;95;1.031;2011
Quênia;-;-;2011
Reino Unido;122.629;285.642;2011
República Dominicana;-;-;2011
Rússia;-;-;2011
São Tomé e Príncipe;-;-;2011
São Vicente e Granadinas;-;-;2011
Senegal;-;-;2011
Serra Leoa;-;-;2011
Singapura;-;-;2011
Suazilândia;-;-;2011
Suécia;1.641;14.476;2011
Suíça;-;-;2011
Suriname;3.774;3.735;2011
Tailândia;-;-;2011
Taiwan (FORMOSA);4.500;10.600;2011
Tanzânia;-;-;2011
Tcheca, República;6.846;37.271;2011
Togo;-;-;2011
Trinidade Tobago;-;-;2011
Tunísia;-;-;2011
Turquia;-;-;2011
Tuvalu;-;-;2011
Uruguai;1.238;4.404;2011
Vanuatu;-;-;2011
Venezuela;-;-;2011
Vietnã;-;-;2011
Total;1.214.834;3.615.120;2011
Afeganistão;-;-;2012
África do Sul;-;-;2012
Alemanha, República Democrática;8.189;56.342;2012
Angola;2.833;8.861;2012
Anguilla;-;-;2012
Antígua e Barbuda;-;-;2012
Antilhas Holandesas;9.247;14.081;2012
Argentina;-;-;2012
Aruba;-;-;2012
Austrália;9.345;56.045;2012
Áustria;-;-;2012
Bahamas;1.374;12.087;2012
Bangladesh;-;-;2012
Barbados;-;-;2012
Barein;-;-;2012
Bélgica;16.132;90.718;2012
Belice;-;-;2012
Benin;-;-;2012
Bolívia;11.868;16.804;2012
Bósnia-Herzegovina;-;-;2012
Brasil;-;-;2012
Bulgária;-;-;2012
Cabo Verde;-;-;2012
Camarões;-;-;2012
Canadá;14.304;146.035;2012
Catar;-;-;2012
Cayman, Ilhas;-;-;2012
Chile;8.550;15.438;2012
China;87.905;642.177;2012
Chipre;-;-;2012
Cingapura;1.212;5.310;2012
Cocos (Keeling), Ilhas;-;-;2012
Colômbia;-;-;2012
Comores;-;-;2012
Congo;-;-;2012
Coreia, Republica Sul;-;-;2012
Costa do Marfim;-;-;2012
Costa Rica;-;-;2012
Croácia;-;-;2012
Cuba;-;-;2012
Curaçao;-;-;2012
Dinamarca;4.716;23.802;2012
Dominica;-;-;2012
El Salvador;-;-;2012
Emirados Arabes Unidos;675;3.300;2012
Equador;-;-;2012
Eslovaca, Republica;-;-;2012
Espanha;-;-;2012
Estados Unidos;146.585;303.986;2012
Estônia;3.321;19.384;2012
Filipinas;-;-;2012
Finlândia;17.100;67.959;2012
França;195.604;185.791;2012
Gana;-;-;2012
Gibraltar;-;-;2012
Granada;-;-;2012
Grécia;-;-;2012
Guatemala;-;-;2012
Guiana;-;-;2012
Guiana Francesa;-;-;2012
Guine Bissau;-;-;2012
Guine Equatorial;819;2.530;2012
Haiti;-;-;2012
Honduras;-;-;2012
Hong Kong;1.609;7.653;2012
Hungria;-;-;2012
Ilha de Man;-;-;2012
Ilhas Virgens;-;-;2012
India;-;-;2012
Indonésia;-;-;2012
Irã;-;-;2012
Iraque;-;-;2012
Irlanda;-;-;2012
Itália;792;5.622;2012
Jamaica;-;-;2012
Japão;29.281;116.961;2012
Jordânia;-;-;2012
Letônia;-;-;2012
Líbano;-;-;2012
Libéria;-;-;2012
Luxemburgo;2.444;16.547;2012
Malásia;-;-;2012
Malta;-;-;2012
Marshall, Ilhas;-;-;2012
Mauritânia;-;-;2012
México;-;-;2012
Moçambique;-;-;2012
Montenegro;-;-;2012
Namibia;-;-;2012
Nicaragua;-;-;2012
Nigéria;6.449;10.196;2012
Noruega;5.104;31.515;2012
Nova Caledônia;-;-;2012
Nova Zelândia;2.364;8.817;2012
Omã;-;-;2012
Países Baixos;134.879;539.641;2012
Panamá;39;2.262;2012
Paraguai;354.824;428.279;2012
Peru;-;-;2012
Polônia;21.663;89.158;2012
Porto Rico;-;-;2012
Portugal;47.172;47.022;2012
Quênia;94;458;2012
Reino Unido;82.937;334.856;2012
República Dominicana;-;-;2012
Rússia;4.528.176;2.103.968;2012
São Tomé e Príncipe;-;-;2012
São Vicente e Granadinas;-;-;2012
Senegal;-;-;2012
Serra Leoa;-;-;2012
Singapura;-;-;2012
Suazilândia;-;-;2012
Suécia;2.705;17.280;2012
Suíça;4.014;47.240;2012
Suriname;396;1.288;2012
Tailândia;-;-;2012
Taiwan (FORMOSA);-;-;2012
Tanzânia;-;-;2012
Tcheca, República;7.960;27.789;2012
Togo;-;-;2012
Trinidade Tobago;531;2.720;2012
Tunísia;-;-;2012
Turquia;-;-;2012
Tuvalu;-;-;2012
Uruguai;1.135;3.879;2012
Vanuatu;-;-;2012
Venezuela;1.029;7.492;2012
Vietnã;-;-;2012
Total;5.775.376;5.521.293;2012
Afeganistão;-;-;2013
África do Sul;-;-;2013
Alemanha, República Democrática;61.699;265.978;2013
Angola;1.573;9.300;2013
Anguilla;-;-;2013
Antígua e Barbuda;-;-;2013
Antilhas Holandesas;11.281;19.565;2013
Argentina;-;-;2013
Aruba;-;-;2013
Austrália;16.707;101.715;2013
Áustria;-;-;2013
Bahamas;581;5.145;2013
Bangladesh;-;-;2013
Barbados;-;-;2013
Barein;-;-;2013
Bélgica;22.461;95.893;2013
Belice;-;-;2013
Benin;-;-;2013
Bolívia;19.147;25.998;2013
Bósnia-Herzegovina;-;-;2013
Brasil;-;-;2013
Bulgária;-;-;2013
Cabo Verde;-;-;2013
Camarões;-;-;2013
Canadá;25.329;174.643;2013
Catar;-;-;2013
Cayman, Ilhas;-;-;2013
Chile;-;-;2013
China;40.929;279.956;2013
Chipre;-;-;2013
Cingapura;766;5.779;2013
Cocos (Keeling), Ilhas;-;-;2013
Colômbia;8;30;2013
Comores;-;-;2013
Congo;-;-;2013
Coreia, Republica Sul;-;-;2013
Costa do Marfim;-;-;2013
Costa Rica;-;-;2013
Croácia;-;-;2013
Cuba;-;-;2013
Curaçao;-;-;2013
Dinamarca;17.892;101.915;2013
Dominica;-;-;2013
El Salvador;-;-;2013
Emirados Arabes Unidos;-;-;2013
Equador;-;-;2013
Eslovaca, Republica;-;-;2013
Espanha;1.972.980;3.748.940;2013
Estados Unidos;245.368;786.556;2013
Estônia;-;-;2013
Filipinas;-;-;2013
Finlândia;36.682;283.114;2013
França;6.885;42.256;2013
Gana;-;-;2013
Gibraltar;-;-;2013
Granada;-;-;2013
Grécia;-;-;2013
Guatemala;-;-;2013
Guiana;-;-;2013
Guiana Francesa;-;-;2013
Guine Bissau;-;-;2013
Guine Equatorial;1.108;5.336;2013
Haiti;-;-;2013
Honduras;-;-;2013
Hong Kong;16.013;61.224;2013
Hungria;-;-;2013
Ilha de Man;-;-;2013
Ilhas Virgens;-;-;2013
India;-;-;2013
Indonésia;-;-;2013
Irã;-;-;2013
Iraque;-;-;2013
Irlanda;-;-;2013
Itália;1.710;11.967;2013
Jamaica;-;-;2013
Japão;91.988;429.088;2013
Jordânia;-;-;2013
Letônia;-;-;2013
Líbano;-;-;2013
Libéria;-;-;2013
Luxemburgo;5.135;29.474;2013
Malásia;-;-;2013
Malta;-;-;2013
Marshall, Ilhas;-;-;2013
Mauritânia;-;-;2013
México;-;-;2013
Moçambique;-;-;2013
Montenegro;-;-;2013
Namibia;-;-;2013
Nicaragua;-;-;2013
Nigéria;1.350;2.245;2013
Noruega;2.375;19.008;2013
Nova Caledônia;-;-;2013
Nova Zelândia;1.004;4.092;2013
Omã;-;-;2013
Países Baixos;57.792;255.690;2013
Panamá;-;-;2013
Paraguai;481.564;680.828;2013
Peru;-;-;2013
Polônia;19.249;90.960;2013
Porto Rico;-;-;2013
Portugal;23.810;17.627;2013
Quênia;6;4;2013
Reino Unido;59.161;305.005;2013
República Dominicana;-;-;2013
Rússia;5.893.291;14.795.694;2013
São Tomé e Príncipe;-;-;2013
São Vicente e Granadinas;-;-;2013
Senegal;-;-;2013
Serra Leoa;-;-;2013
Singapura;-;-;2013
Suazilândia;-;-;2013
Suécia;3.195;20.183;2013
Suíça;2.997;29.785;2013
Suriname;1.800;2.960;2013
Tailândia;-;-;2013
Taiwan (FORMOSA);-;-;2013
Tanzânia;-;-;2013
Tcheca, República;3.697;23.549;2013
Togo;-;-;2013
Trinidade Tobago;-;-;2013
Tunísia;-;-;2013
Turquia;-;-;2013
Tuvalu;-;-;2013
Uruguai;1.526;13.343;2013
Vanuatu;-;-;2013
Venezuela;-;-;2013
Vietnã;-;-;2013
Total;9.149.059;22.744.845;2013
Afeganistão;-;-;2014
África do Sul;-;-;2014
Alemanha, República Democrática;213.348;761.653;2014
Angola;12.182;23.124;2014
Anguilla;-;-;2014
Antígua e Barbuda;-;-;2014
Antilhas Holandesas;4.455;7.169;2014
Argentina;20.385;95.130;2014
Aruba;450;755;2014
Austrália;6.308;43.709;2014
Áustria;-;-;2014
Bahamas;-;-;2014
Bangladesh;-;-;2014
Barbados;-;-;2014
Barein;-;-;2014
Bélgica;151.320;704.093;2014
Belice;-;-;2014
Benin;-;-;2014
Bolívia;12.534;18.303;2014
Bósnia-Herzegovina;-;-;2014
Brasil;-;-;2014
Bulgária;-;-;2014
Cabo Verde;-;-;2014
Camarões;-;-;2014
Canadá;35.082;226.875;2014
Catar;-;-;2014
Cayman, Ilhas;-;-;2014
Chile;-;-;2014
China;64.040;455.340;2014
Chipre;-;-;2014
Cingapura;541;3.887;2014
Cocos (Keeling), Ilhas;-;-;2014
Colômbia;-;-;2014
Comores;-;-;2014
Congo;-;-;2014
Coreia, Republica Sul;-;-;2014
Costa do Marfim;-;-;2014
Costa Rica;-;-;2014
Croácia;-;-;2014
Cuba;38.875;43.200;2014
Curaçao;-;-;2014
Dinamarca;3.240;16.871;2014
Dominica;-;-;2014
El Salvador;-;-;2014
Emirados Arabes Unidos;640;3.381;2014
Equador;-;-;2014
Eslovaca, Republica;-;-;2014
Espanha;-;-;2014
Estados Unidos;222.267;494.216;2014
Estônia;-;-;2014
Filipinas;-;-;2014
Finlândia;12.960;94.962;2014
França;33.755;167.807;2014
Gana;-;-;2014
Gibraltar;-;-;2014
Granada;-;-;2014
Grécia;-;-;2014
Guatemala;-;-;2014
Guiana;-;-;2014
Guiana Francesa;-;-;2014
Guine Bissau;-;-;2014
Guine Equatorial;5.646;11.983;2014
Haiti;-;-;2014
Honduras;-;-;2014
Hong Kong;18.130;63.534;2014
Hungria;-;-;2014
Ilha de Man;-;-;2014
Ilhas Virgens;-;-;2014
India;-;-;2014
Indonésia;-;-;2014
Irã;-;-;2014
Iraque;-;-;2014
Irlanda;-;-;2014
Itália;604;2.492;2014
Jamaica;-;-;2014
Japão;106.426;401.774;2014
Jordânia;-;-;2014
Letônia;-;-;2014
Líbano;-;-;2014
Libéria;-;-;2014
Luxemburgo;8.281;52.400;2014
Malásia;-;-;2014
Malta;-;-;2014
Marshall, Ilhas;-;-;2014
Mauritânia;-;-;2014
México;1.521;24.336;2014
Moçambique;-;-;2014
Montenegro;-;-;2014
Namibia;-;-;2014
Nicaragua;-;-;2014
Nigéria;-;-;2014
Noruega;7.179;50.464;2014
Nova Caledônia;-;-;2014
Nova Zelândia;2.800;13.675;2014
Omã;-;-;2014
Países Baixos;165.289;773.767;2014
Panamá;-;-;2014
Paraguai;521.847;908.028;2014
Peru;-;-;2014
Polônia;30.181;107.957;2014
Porto Rico;-;-;2014
Portugal;71.544;79.141;2014
Quênia;-;-;2014
Reino Unido;305.807;1.373.747;2014
República Dominicana;-;-;2014
Rússia;190.656;61.440;2014
São Tomé e Príncipe;-;-;2014
São Vicente e Granadinas;-;-;2014
Senegal;-;-;2014
Serra Leoa;-;-;2014
Singapura;-;-;2014
Suazilândia;-;-;2014
Suécia;10.404;51.057;2014
Suíça;27.933;231.762;2014
Suriname;6;19;2014
Tailândia;-;-;2014
Taiwan (FORMOSA);12.519;67.907;2014
Tanzânia;-;-;2014
Tcheca, República;4.500;35.005;2014
Togo;-;-;2014
Trinidade Tobago;360;1.600;2014
Tunísia;-;-;2014
Turquia;-;-;2014
Tuvalu;-;-;2014
Uruguai;-;-;2014
Vanuatu;-;-;2014
Venezuela;14;232;2014
Vietnã;-;-;2014
Total;2.324.029;7.472.795;2014
Afeganistão;-;-;2015
África do Sul;-;-;2015
Alemanha, República Democrática;10.680;44.780;2015
Angola;1.908;17.089;2015
Anguilla;-;-;2015
Antígua e Barbuda;-;-;2015
Antilhas Holandesas;6.660;10.545;2015
Argentina;-;-;2015
Aruba;-;-;2015
Austrália;7.437;48.011;2015
Áustria;-;-;2015
Bahamas;-;-;2015
Bangladesh;-;-;2015
Barbados;-;-;2015
Barein;-;-;2015
Bélgica;4.473;26.399;2015
Belice;-;-;2015
Benin;-;-;2015
Bolívia;10.674;12.990;2015
Bósnia-Herzegovina;-;-;2015
Brasil;-;-;2015
Bulgária;-;-;2015
Cabo Verde;-;-;2015
Camarões;-;-;2015
Canadá;24.547;118.394;2015
Catar;-;-;2015
Cayman, Ilhas;-;-;2015
Chile;-;-;2015
China;47.609;222.866;2015
Chipre;-;-;2015
Cingapura;1.116;2.774;2015
Cocos (Keeling), Ilhas;-;-;2015
Colômbia;-;-;2015
Comores;-;-;2015
Congo;-;-;2015
Coreia, Republica Sul;-;-;2015
Costa do Marfim;-;-;2015
Costa Rica;-;-;2015
Croácia;-;-;2015
Cuba;97.965;108.864;2015
Curaçao;-;-;2015
Dinamarca;7.080;29.306;2015
Dominica;-;-;2015
El Salvador;-;-;2015
Emirados Arabes Unidos;765;3.740;2015
Equador;-;-;2015
Eslovaca, Republica;-;-;2015
Espanha;-;-;2015
Estados Unidos;195.896;524.109;2015
Estônia;-;-;2015
Filipinas;-;-;2015
Finlândia;-;-;2015
França;1.596;4.749;2015
Gana;-;-;2015
Gibraltar;-;-;2015
Granada;-;-;2015
Grécia;-;-;2015
Guatemala;-;-;2015
Guiana;-;-;2015
Guiana Francesa;-;-;2015
Guine Bissau;-;-;2015
Guine Equatorial;-;-;2015
Haiti;-;-;2015
Honduras;-;-;2015
